Task,n patients,Chance,Input / model,Balanced accuracy (mean ± SD over 5 seeds),Patient-cluster bootstrap 95% CI,Macro-F1 (mean ± SD),vs pre-specified non-imaging baseline,Note
Binary: NTPF vs fracture,186,0.500,label-permutation null,0.491 ± 0.048,0.462 to 0.521,0.486 ± 0.055,,control
Binary: NTPF vs fracture,186,0.500,mask geometry only (logistic),0.564 ± 0.021,,0.549 ± 0.020,,not pre-specified
Binary: NTPF vs fracture,186,0.500,non-imaging baseline (logistic),0.814 ± 0.016,,0.816 ± 0.015,,pre-specified comparator
Binary: NTPF vs fracture,186,0.500,"ResNet-50, mask ROI",0.833 ± 0.028,0.782 to 0.882,0.831 ± 0.024,"+0.019 [-0.022, +0.060], p = 0.264",not distinguishable
Six-class Schatzker (fracture patients),128,0.167,label-permutation null,0.172 ± 0.025,0.146 to 0.200,0.171 ± 0.030,,control
Six-class Schatzker (fracture patients),128,0.167,mask geometry only (logistic),0.124 ± 0.020,,0.130 ± 0.018,,not pre-specified
Six-class Schatzker (fracture patients),128,0.167,non-imaging baseline (logistic),0.164 ± 0.041,,0.161 ± 0.022,,pre-specified; at chance
Six-class Schatzker (fracture patients),128,0.167,"mask silhouette only, 16 × 16 (logistic)",0.213 ± 0.034,,0.210 ± 0.034,,no radiograph pixels; permuted null 0.144 ± 0.032
Six-class Schatzker (fracture patients),128,0.167,"ResNet-50, tibia erased",0.257 ± 0.025,0.211 to 0.305,0.246 ± 0.028,"+0.092 [+0.017, +0.168], p = 0.027",full frame; mask silhouette retained
Six-class Schatzker (fracture patients),128,0.167,"ResNet-50, tibia only",0.367 ± 0.012,,0.364 ± 0.013,"+0.203 [+0.143, +0.263], p = 0.0007","exact complement of the row above, same field of view; +0.111 [+0.088, +0.133], p = 0.0002 against it"
Six-class Schatzker (fracture patients),128,0.167,"ResNet-50, centre crop",0.260 ± 0.031,0.220 to 0.301,0.252 ± 0.033,"+0.095 [+0.028, +0.162], p = 0.017",no mask used; field of view differs
Six-class Schatzker (fracture patients),128,0.167,"ResNet-50, mask ROI",0.345 ± 0.030,0.301 to 0.389,0.335 ± 0.031,"+0.180 [+0.103, +0.257], p = 0.003",primary result; oracle localisation
Six-class Schatzker (fracture patients),128,0.167,"ResNet-50, mask ROI, GPU-augmentation replicate",0.345 ± 0.022,,0.338 ± 0.021,"+0.180 [+0.115, +0.246], p = 0.002",flip-on control for the row below; reproduces the row above (+0.0001 [-0.058, +0.058], p = 0.996)
Six-class Schatzker (fracture patients),128,0.167,"ResNet-50, mask ROI, no horizontal flip",0.309 ± 0.028,,0.298 ± 0.027,"+0.145 [+0.089, +0.201], p = 0.002","augmentation audit; vs flip-on replicate -0.035 [-0.087, +0.017], p = 0.132"
Seven-class (all patients),186,0.143,"ResNet-50, mask ROI",0.352 ± 0.015,0.315 to 0.389,0.345 ± 0.014,,secondary; CT confound applies
Schatzker VI vs rest (recast),128,0.500,label-permutation null,0.502 ± 0.037,0.464 to 0.540,,,control
Schatzker VI vs rest (recast),128,0.500,"mask silhouette only, 16 × 16 (logistic)",0.545 ± 0.042,,,,no radiograph pixels
Schatzker VI vs rest (recast),128,0.500,"ResNet-50, centre crop",0.654 ± 0.034,0.580 to 0.727,,,no mask used
Schatzker VI vs rest (recast),128,0.500,"ResNet-50, tibia erased",0.685 ± 0.037,0.614 to 0.753,,,63% of the margin above chance retained
Schatzker VI vs rest (recast),128,0.500,"ResNet-50, tibia only",0.838 ± 0.036,,,,"complement of the row above; +0.153 [+0.118, +0.187], p = 0.0002 against it"
Schatzker VI vs rest (recast),128,0.500,"ResNet-50, mask ROI",0.793 ± 0.021,0.729 to 0.855,,,recast from the six-class confusion matrix; no classifier trained
,,,,,,,,"Bootstrap intervals resample patients within class, carrying all five of a patient's evaluations together. Differences in the penultimate column are paired across seeds. The patient-cluster bootstrap of the mask-ROI minus tibia-erased difference is +0.088 [+0.043, +0.132]. Intervals for the logistic-regression rows were computed by resampling evaluations and are omitted rather than reported on a different basis. The Schatzker VI versus rest rows are recast from the six-class confusion matrix; no binary classifier was trained or thresholded, and the mask ROI supplies the localisation."
