config,seed,architecture,preprocessing,label_source,n_patients,chance,balanced_accuracy,macro_f1,accuracy,final_train_accuracy,fold_balanced_accuracies
A7_roi,0,resnet50,prep2,image,186,0.1429,0.3753,0.3645,0.543,0.9981,0.4065; 0.4595; 0.3312; 0.2393; 0.4639
A7_roi,1,resnet50,prep2,image,186,0.1429,0.3391,0.3296,0.5108,0.9982,0.2857; 0.2625; 0.4025; 0.3733; 0.3699
A7_roi,2,resnet50,prep2,image,186,0.1429,0.3379,0.3353,0.5054,0.9982,0.3107; 0.3148; 0.3202; 0.3534; 0.3915
A7_roi,3,resnet50,prep2,image,186,0.1429,0.3515,0.3454,0.5161,0.9951,0.3867; 0.3338; 0.2585; 0.4160; 0.3503
A7_roi,4,resnet50,prep2,image,186,0.1429,0.3552,0.3517,0.5108,0.9963,0.3194; 0.3626; 0.4132; 0.3609; 0.3194
C2_roi,0,resnet50,prep2,image,186,0.5,0.831,0.8185,0.8387,0.9994,0.8800; 0.8062; 0.8129; 0.7981; 0.8654
C2_roi,1,resnet50,prep2,image,186,0.5,0.863,0.8579,0.8763,0.9951,0.9199; 0.8776; 0.9423; 0.7500; 0.8231
C2_roi,2,resnet50,prep2,image,186,0.5,0.8324,0.8356,0.8602,0.997,0.8969; 0.8436; 0.7862; 0.7963; 0.8491
C2_roi,3,resnet50,prep2,image,186,0.5,0.8505,0.8456,0.8656,0.9957,0.8590; 0.8691; 0.7292; 0.9175; 0.8782
C2_roi,4,resnet50,prep2,image,186,0.5,0.7901,0.7956,0.828,0.9982,0.7400; 0.8646; 0.8891; 0.7564; 0.6991
C2_shuffle,0,resnet50,prep2,image,186,0.5,0.4651,0.4563,0.5753,0.9981,0.5210; 0.4817; 0.4904; 0.4964; 0.3462
C2_shuffle,1,resnet50,prep2,image,186,0.5,0.4189,0.4043,0.5376,0.9945,0.4038; 0.5450; 0.3986; 0.4263; 0.3200
C2_shuffle,2,resnet50,prep2,image,186,0.5,0.5364,0.535,0.6344,1.0,0.4833; 0.6067; 0.5128; 0.5140; 0.5664
C2_shuffle,3,resnet50,prep2,image,186,0.5,0.5193,0.5194,0.5914,0.9913,0.5467; 0.6317; 0.4755; 0.4882; 0.4450
C2_shuffle,4,resnet50,prep2,image,186,0.5,0.5168,0.5157,0.6075,0.9963,0.4433; 0.5705; 0.5667; 0.5140; 0.4895
