key,pid,true,pred,correct,cam_edge_fraction,edge_area_fraction
001_im0,1,Type 2,Type 6,0,0.062491439282894135,0.5087492028061225
001_im1,1,Type 2,Type 6,0,0.18214336037635803,0.5087492028061225
003_im0,3,Type 1,Type 1,1,0.16719621419906616,0.5087492028061225
016_im0,16,Type 2,Type 2,1,0.15334194898605347,0.5087492028061225
016_im1,16,Type 2,Type 3,0,0.23510822653770447,0.5087492028061225
016_im2,16,Type 2,Type 2,1,0.17165757715702057,0.5087492028061225
021_im0,21,Type 2,Type 2,1,0.13326457142829895,0.5087492028061225
021_im1,21,Type 2,Type 2,1,0.198877215385437,0.5087492028061225
024_im0,24,Type 6,Type 6,1,0.05301012471318245,0.5087492028061225
024_im1,24,Type 6,Type 6,1,0.16250628232955933,0.5087492028061225
027_im0,27,Type 3,Type 1,0,0.14397668838500977,0.5087492028061225
039_im0,39,Type 4,Type 3,0,0.17581626772880554,0.5087492028061225
039_im1,39,Type 4,Type 6,0,0.2612498700618744,0.5087492028061225
062_im0,62,Type 3,Type 1,0,0.1320236325263977,0.5087492028061225
062_im1,62,Type 3,Type 3,1,0.2651832401752472,0.5087492028061225
063_im0,63,Type 6,Type 6,1,0.05302120000123978,0.5087492028061225
063_im1,63,Type 6,Type 6,1,0.03308678790926933,0.5087492028061225
063_im2,63,Type 6,Type 6,1,0.08474905043840408,0.5087492028061225
063_im3,63,Type 6,Type 1,0,0.2368783950805664,0.5087492028061225
063_im4,63,Type 6,Type 6,1,0.08003890514373779,0.5087492028061225
063_im5,63,Type 6,Type 6,1,0.03739733248949051,0.5087492028061225
063_im6,63,Type 6,Type 6,1,0.057051293551921844,0.5087492028061225
063_im7,63,Type 6,Type 1,0,0.12823010981082916,0.5087492028061225
106_im0,106,Type 1,Type 6,0,0.1536274403333664,0.5087492028061225
106_im1,106,Type 1,Type 1,1,0.13016195595264435,0.5087492028061225
106_im2,106,Type 1,Type 2,0,0.2379300743341446,0.5087492028061225
108_im0,108,Type 1,Type 6,0,0.08342200517654419,0.5087492028061225
108_im1,108,Type 1,Type 1,1,0.25990885496139526,0.5087492028061225
108_im2,108,Type 1,Type 1,1,0.14594973623752594,0.5087492028061225
108_im3,108,Type 1,Type 1,1,0.20396600663661957,0.5087492028061225
121_im0,121,Type 2,Type 3,0,0.06538849323987961,0.5087492028061225
121_im1,121,Type 2,Type 1,0,0.17610031366348267,0.5087492028061225
133_im0,133,Type 6,Type 6,1,0.1982300877571106,0.5087492028061225
133_im1,133,Type 6,Type 6,1,0.13109374046325684,0.5087492028061225
137_im0,137,Type 5,Type 5,1,0.058502741158008575,0.5087492028061225
137_im1,137,Type 5,Type 3,0,0.2646104693412781,0.5087492028061225
157_im0,157,Type 2,Type 1,0,0.10390964895486832,0.5087492028061225
157_im1,157,Type 2,Type 1,0,0.17675761878490448,0.5087492028061225
161_im0,161,Type 4,Type 1,0,0.16587813198566437,0.5087492028061225
169_im0,169,Type 1,Type 1,1,0.21747921407222748,0.5087492028061225
169_im1,169,Type 1,Type 1,1,0.16152119636535645,0.5087492028061225
178_im0,178,Type 3,Type 2,0,0.11415806412696838,0.5087492028061225
178_im1,178,Type 3,Type 2,0,0.08481670171022415,0.5087492028061225
178_im2,178,Type 3,Type 2,0,0.13409359753131866,0.5087492028061225
202_im0,202,Type 6,Type 6,1,0.10125996917486191,0.5087492028061225
202_im1,202,Type 6,Type 2,0,0.17344456911087036,0.5087492028061225
240_im0,240,Type 6,Type 6,1,0.06319131702184677,0.5087492028061225
240_im1,240,Type 6,Type 6,1,0.09105128049850464,0.5087492028061225
256_im0,256,Type 5,Type 1,0,0.24179837107658386,0.5087492028061225
261_im0,261,Type 5,Type 6,0,0.08913158625364304,0.5087492028061225
261_im1,261,Type 5,Type 6,0,0.14053279161453247,0.5087492028061225
267_im0,267,Type 1,Type 6,0,0.2298555225133896,0.5087492028061225
267_im1,267,Type 1,Type 1,1,0.29364240169525146,0.5087492028061225
282_im0,282,Type 2,Type 6,0,0.11459356546401978,0.5087492028061225
282_im1,282,Type 2,Type 2,1,0.1052822470664978,0.5087492028061225
